
"WU03EW - Location of usual residence and place of work by method of travel to work (MSOA level)"
"ONS Crown Copyright Reserved [from Nomis on 28 February 2025]"
"Population :","All usual residents aged 16 and over in employment the week before the census"
"Units      :","Persons"
"Date       :","2011"
"Method of travel to work:","All categories: Method of travel to work (2001 specification)"

 ,"place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work"
"E02003111 : South Gloucestershire 022",7,9,4,0,0,0,15,11,3,2,4,5,3,2,0,4,6,2,1,0,2,6,1,1,0,2,0,5,6,21,39,1,8,0,17,0,5,2,5,100,35,4,7,7,12,20,10,36,14,25,50,14,9,7,10,3,248,1,5,10,5,0,12,14,1,9,5,16,0,8,5,3,7,5,1,0,4,11,128,23,24,14,0,5,2,12,0,11,1,6,1,0,4,3,1,0,0,1,0,0,4,0,0,0,3,0,1,0,18,9,18,8,55,18,8,13,48,10,43,9,7,2,10,12,260,47,73,50,51,119,17,16,71,61,12,31,26,9,17,26
"E02003112 : South Gloucestershire 023",11,9,11,2,0,0,17,8,6,0,2,1,3,1,0,2,2,2,0,1,2,2,0,1,0,1,0,7,14,19,37,6,7,1,19,1,5,2,10,88,20,2,3,1,11,15,10,40,4,22,30,6,6,10,23,7,147,4,4,20,8,0,30,11,1,16,4,7,1,4,6,8,5,2,0,0,0,5,110,7,33,6,1,2,4,6,0,9,2,5,1,0,2,7,1,2,0,0,0,0,1,1,0,0,4,1,0,1,19,15,38,18,46,16,7,21,39,5,53,6,8,2,1,28,207,57,118,51,122,77,81,17,77,55,14,44,23,26,11,22
"E02003113 : South Gloucestershire 024",21,24,20,8,10,12,173,81,39,15,10,63,4,3,0,19,7,13,4,2,2,14,1,1,1,2,1,4,11,15,24,1,8,1,24,3,2,1,3,33,12,9,4,10,8,18,4,26,6,14,29,14,7,7,13,12,159,2,2,13,7,1,35,13,2,8,1,10,0,4,7,5,4,6,2,0,8,6,119,8,23,4,1,6,4,14,1,12,1,5,1,0,2,2,2,3,0,3,1,0,2,7,5,0,3,0,2,3,22,13,80,22,47,60,17,86,42,22,57,7,8,7,1,11,196,29,117,6,27,14,6,431,22,21,9,36,64,38,17,69
"E02003114 : South Gloucestershire 025",21,10,12,0,0,0,23,17,11,2,1,9,0,0,0,3,4,1,1,2,0,0,2,0,0,0,0,3,3,18,38,0,7,1,30,7,3,0,14,86,16,13,9,4,14,21,7,47,3,32,43,8,10,8,27,16,205,3,5,14,13,1,15,22,2,15,10,15,0,12,6,8,7,1,2,0,1,13,146,13,49,11,0,4,6,12,1,6,3,6,1,0,1,3,7,0,0,0,0,0,2,3,1,1,1,3,0,1,25,8,28,6,58,19,4,10,43,7,69,9,0,3,4,12,241,45,107,10,68,53,19,21,197,149,61,78,30,23,26,35
"E02003115 : South Gloucestershire 026",12,7,18,1,0,0,28,16,18,3,6,12,3,2,2,5,5,4,0,4,1,4,7,4,0,2,0,8,10,34,38,2,7,2,37,4,12,4,18,134,50,7,22,10,21,45,12,105,16,47,81,11,30,17,50,18,278,0,4,25,16,2,26,30,2,20,5,29,0,20,17,11,12,1,0,0,3,24,204,27,75,12,2,7,3,11,3,8,2,7,4,2,4,6,13,2,0,1,0,0,0,1,0,1,3,0,1,4,34,17,45,11,61,16,12,13,51,4,74,18,3,3,3,17,316,57,128,14,87,61,15,16,119,291,56,127,39,39,44,55
"E02003116 : South Gloucestershire 027",19,9,27,1,0,2,23,12,4,7,2,8,3,0,0,10,1,1,1,8,0,5,4,0,0,1,0,7,5,15,25,0,6,0,38,1,3,3,10,80,13,8,20,4,23,32,5,51,4,42,47,15,30,12,22,5,192,2,2,28,8,1,36,21,1,18,4,27,5,16,9,9,8,1,1,0,8,14,146,28,42,13,0,3,1,13,4,8,0,3,0,0,1,12,7,0,0,0,0,1,0,0,0,0,0,2,0,2,33,15,37,12,69,9,18,18,25,4,51,6,5,2,1,7,158,44,110,5,65,21,8,29,56,135,131,156,65,32,29,74
"E02003117 : South Gloucestershire 028",16,14,19,0,0,1,38,21,16,4,6,18,2,0,0,11,2,4,0,7,8,1,6,1,1,4,0,7,14,17,31,4,15,0,33,6,8,3,12,75,36,10,12,6,13,33,12,78,7,30,65,18,30,18,45,15,285,25,0,41,9,2,35,31,1,17,14,43,1,7,9,10,6,7,0,0,5,15,228,38,71,13,3,5,4,15,0,9,3,13,2,1,6,5,18,1,0,0,2,0,0,0,0,2,3,3,3,1,21,20,42,12,56,34,12,14,46,4,54,9,3,1,1,15,158,41,96,1,56,27,7,29,53,118,46,271,84,35,117,105
"E02003118 : South Gloucestershire 029",60,30,36,3,5,1,71,48,17,7,10,25,6,6,1,15,12,12,1,6,5,6,10,3,1,2,1,4,6,35,23,1,10,1,45,6,7,0,7,72,53,11,23,7,19,29,8,79,17,53,76,19,37,15,39,11,360,16,7,38,19,2,59,34,2,21,10,57,3,17,25,23,19,5,4,1,7,19,302,33,72,9,4,11,4,11,3,12,0,10,0,5,5,7,24,1,2,0,0,1,5,1,0,0,2,0,4,2,30,24,41,16,66,33,17,24,63,3,102,10,7,3,2,19,231,57,139,9,75,30,10,67,57,92,63,200,245,87,86,204
"E02003119 : South Gloucestershire 030",60,47,50,4,3,2,93,79,35,10,19,37,5,6,0,26,10,12,8,7,9,5,4,0,2,0,1,2,4,20,33,5,12,0,48,1,5,3,10,60,18,18,15,6,10,24,3,60,9,45,76,16,23,14,30,8,281,7,5,43,29,3,46,32,3,16,13,47,2,12,10,10,20,4,3,0,13,21,219,26,80,9,2,10,8,5,1,15,0,12,3,3,1,4,18,2,0,0,0,0,5,2,1,0,9,0,0,2,28,15,50,15,55,24,3,26,53,3,70,9,10,2,3,11,198,53,134,8,61,18,12,76,58,80,31,122,209,255,69,316
"E02003120 : South Gloucestershire 031",28,22,28,1,1,1,44,38,25,7,15,16,5,4,2,13,2,2,1,5,3,6,10,0,3,0,1,7,6,15,16,6,8,1,29,3,7,1,9,48,27,10,14,8,6,23,12,54,6,33,77,15,19,23,40,13,274,37,2,41,15,0,62,28,4,17,7,29,3,12,5,16,3,6,3,0,5,20,237,34,83,7,5,8,3,12,1,20,1,18,2,0,1,10,12,0,0,0,0,0,3,0,1,0,3,1,0,1,14,12,32,12,34,19,8,11,38,7,46,2,6,1,3,7,142,32,93,6,46,14,9,20,38,67,19,127,62,29,245,154
"E02003121 : South Gloucestershire 032",83,45,61,2,2,3,118,90,33,12,22,37,11,6,1,22,14,13,10,6,1,13,5,9,3,10,1,6,7,23,27,4,9,1,33,3,2,3,7,43,28,8,24,6,12,18,12,56,7,39,72,20,14,17,24,12,369,17,1,44,12,4,57,21,2,20,13,43,1,15,13,16,14,11,1,1,13,20,278,27,81,6,2,15,1,12,0,10,3,11,1,2,4,10,20,2,0,0,0,0,1,0,0,1,4,4,1,1,28,10,43,7,52,20,10,18,35,3,70,9,3,0,3,12,223,36,106,5,48,26,15,88,59,52,19,93,121,125,87,412



"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas. Some counts will"
"","be affected, particularly small counts at the lowest geographies"
"",""







"WU03EW - Location of usual residence and place of work by method of travel to work (MSOA level)"
"ONS Crown Copyright Reserved [from Nomis on 28 February 2025]"
"Population :","All usual residents aged 16 and over in employment the week before the census"
"Units      :","Persons"
"Date       :","2011"
"Method of travel to work:","Work mainly at or from home"

 ,"place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work"
"usual residence : 2011 super output area - middle layer","E02002985 : Bath and North East Somerset 001","E02002986 : Bath and North East Somerset 002","E02002987 : Bath and North East Somerset 003","E02002988 : Bath and North East Somerset 004","E02002989 : Bath and North East Somerset 005","E02002990 : Bath and North East Somerset 006","E02002991 : Bath and North East Somerset 007","E02002992 : Bath and North East Somerset 008","E02002993 : Bath and North East Somerset 009","E02002994 : Bath and North East Somerset 010","E02002995 : Bath and North East Somerset 011","E02002996 : Bath and North East Somerset 012","E02002997 : Bath and North East Somerset 013","E02002998 : Bath and North East Somerset 014","E02002999 : Bath and North East Somerset 015","E02003000 : Bath and North East Somerset 016","E02003001 : Bath and North East Somerset 017","E02003002 : Bath and North East Somerset 018","E02003003 : Bath and North East Somerset 019","E02003004 : Bath and North East Somerset 020","E02003005 : Bath and North East Somerset 021","E02003006 : Bath and North East Somerset 022","E02003007 : Bath and North East Somerset 023","E02003008 : Bath and North East Somerset 024","E02003009 : Bath and North East Somerset 025","E02003010 : Bath and North East Somerset 026","E02003011 : Bath and North East Somerset 027","E02003012 : Bristol 001","E02003013 : Bristol 002","E02003014 : Bristol 003","E02003015 : Bristol 004","E02003016 : Bristol 005","E02003017 : Bristol 006","E02003018 : Bristol 007","E02003019 : Bristol 008","E02003020 : Bristol 009","E02003021 : Bristol 010","E02003022 : Bristol 011","E02003023 : Bristol 012","E02003024 : Bristol 013","E02003025 : Bristol 014","E02003026 : Bristol 015","E02003027 : Bristol 016","E02003028 : Bristol 017","E02003029 : Bristol 018","E02003030 : Bristol 019","E02003031 : Bristol 020","E02003032 : Bristol 021","E02003033 : Bristol 022","E02003034 : Bristol 023","E02003036 : Bristol 025","E02003037 : Bristol 026","E02003038 : Bristol 027","E02003039 : Bristol 028","E02003040 : Bristol 029","E02003041 : Bristol 030","E02003043 : Bristol 032","E02003044 : Bristol 033","E02003045 : Bristol 034","E02003046 : Bristol 035","E02003047 : Bristol 036","E02003048 : Bristol 037","E02003049 : Bristol 038","E02003050 : Bristol 039","E02003051 : Bristol 040","E02003052 : Bristol 041","E02003053 : Bristol 042","E02003054 : Bristol 043","E02003055 : Bristol 044","E02003056 : Bristol 045","E02003057 : Bristol 046","E02003058 : Bristol 047","E02003059 : Bristol 048","E02003060 : Bristol 049","E02003061 : Bristol 050","E02003062 : Bristol 051","E02003063 : Bristol 052","E02003064 : Bristol 053","E02006887 : Bristol 054","E02006888 : Bristol 055","E02006889 : Bristol 056","E02006890 : Bristol 057","E02003065 : North Somerset 001","E02003066 : North Somerset 002","E02003067 : North Somerset 003","E02003068 : North Somerset 004","E02003069 : North Somerset 005","E02003070 : North Somerset 006","E02003071 : North Somerset 007","E02003072 : North Somerset 008","E02003073 : North Somerset 009","E02003074 : North Somerset 010","E02003075 : North Somerset 011","E02003076 : North Somerset 012","E02003077 : North Somerset 013","E02003078 : North Somerset 014","E02003079 : North Somerset 015","E02003080 : North Somerset 016","E02003081 : North Somerset 017","E02003082 : North Somerset 018","E02003084 : North Somerset 020","E02003085 : North Somerset 021","E02003086 : North Somerset 022","E02003087 : North Somerset 023","E02003088 : North Somerset 024","E02003089 : North Somerset 025","E02006845 : North Somerset 026","E02006846 : North Somerset 027","E02003090 : South Gloucestershire 001","E02003091 : South Gloucestershire 002","E02003092 : South Gloucestershire 003","E02003093 : South Gloucestershire 004","E02003094 : South Gloucestershire 005","E02003095 : South Gloucestershire 006","E02003096 : South Gloucestershire 007","E02003097 : South Gloucestershire 008","E02003098 : South Gloucestershire 009","E02003099 : South Gloucestershire 010","E02003100 : South Gloucestershire 011","E02003101 : South Gloucestershire 012","E02003102 : South Gloucestershire 013","E02003103 : South Gloucestershire 014","E02003104 : South Gloucestershire 015","E02003105 : South Gloucestershire 016","E02003106 : South Gloucestershire 017","E02003107 : South Gloucestershire 018","E02003108 : South Gloucestershire 019","E02003109 : South Gloucestershire 020","E02003110 : South Gloucestershire 021","E02003111 : South Gloucestershire 022","E02003112 : South Gloucestershire 023","E02003113 : South Gloucestershire 024","E02003114 : South Gloucestershire 025","E02003115 : South Gloucestershire 026","E02003116 : South Gloucestershire 027","E02003117 : South Gloucestershire 028","E02003118 : South Gloucestershire 029","E02003119 : South Gloucestershire 030","E02003120 : South Gloucestershire 031","E02003121 : South Gloucestershire 032"

"E02002985 : Bath and North East Somerset 001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02002986 : Bath and North East Somerset 002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02002987 : Bath and North East Somerset 003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02002988 : Bath and North East Somerset 004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02002989 : Bath and North East Somerset 005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02002990 : Bath and North East Somerset 006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02002991 : Bath and North East Somerset 007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02002992 : Bath and North East Somerset 008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02002993 : Bath and North East Somerset 009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02002994 : Bath and North East Somerset 010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02002995 : Bath and North East Somerset 011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02002996 : Bath and North East Somerset 012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02002997 : Bath and North East Somerset 013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02002998 : Bath and North East Somerset 014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02002999 : Bath and North East Somerset 015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02003000 : Bath and North East Somerset 016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02003001 : Bath and North East Somerset 017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02003002 : Bath and North East Somerset 018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02003003 : Bath and North East Somerset 019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02003004 : Bath and North East Somerset 020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02003005 : Bath and North East Somerset 021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02003006 : Bath and North East Somerset 022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02003007 : Bath and North East Somerset 023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
